 ,XM,YM
1,395,519
2,372,518
3,420,515
4,350,511
5,441,505
6,329,501
7,457,492
8,310,488
9,469,472
10,295,470
11,92,469
12,108,469
13,125,463
14,78,461
15,88,452
16,103,452
17,474,452
18,284,449
19,72,447
20,137,447
21,115,443
22,202,441
23,222,437
24,471,431
25,274,430
26,143,428
27,122,427
28,206,427
29,188,424
30,233,419
31,506,415
32,216,412
33,270,409
34,463,409
35,121,408
36,146,408
37,523,406
38,234,396
39,508,394
40,212,392
41,452,391
42,145,388
43,270,388
44,117,387
45,526,385
46,496,379
47,434,377
48,232,375
49,203,372
50,481,369
51,142,366
52,515,366
53,112,365
54,266,365
55,461,365
56,421,364
57,231,354
58,445,352
59,496,352
60,196,348
61,409,348
62,297,345
63,109,344
64,140,343
65,479,343
66,594,342
67,264,341
68,283,339
69,349,338
70,242,337
71,334,334
72,433,333
73,460,333
74,362,331
75,168,330
76,301,329
77,147,328
78,401,328
79,276,326
80,589,326
81,107,325
82,603,325
83,130,324
84,255,324
85,194,322
86,328,321
87,454,318
88,539,318
89,556,318
90,288,317
91,360,317
92,160,316
93,420,316
94,521,315
95,576,315
96,93,314
97,403,312
98,506,308
99,596,308
100,205,307
101,128,305
102,243,305
103,332,305
104,148,304
105,225.500,297
106,75,301
107,349,301
108,448,300
109,110,299
110,583,297
111,564,295
112,547,293
113,158,291
114,491,291
115,527,290
116,64,284
117,174,283
118,213,282
119,442,282
120,115,281
121,193,280
122,480.500,274
123,98,278
124,512,275
125,466,267
126,428,266
127,57,265
128,122,263
129,501,259
130,388,258
131,224,257
132,410,255
133,458,252
134,96,250
135,487,250
136,133,248
137,56,245
138,443,241
139,516,241
140,147,238
141,286,237
142,406,237
143,425,236
144,212,235
145,497,233
146,163,229
147,103,226
148,477,226
149,57,225
150,183,223
151,525,221
152,198,219
153,292,219
154,355,217
155,276,212
156,465,211
157,495,211
158,364,202
159,119,207
160,62,206
161,185,206
162,526,200
163,163,198
164,450,198
165,140,197
166,299,196
167,381,196
168,261,194
169,427,192
170,487,192
171,401,190
172,70,187
173,372,179
174,516,177
175,310,176
176,243,175
177,474,172
178,83,171
179,395,164
180,218,161
181,100,158
182,448,157
183,422,156
184,327,155
185,505,154
186,190,151
187,120,150
188,165,145
189,140,144
190,348,137
191,485,135
192,372,125
193,457,122
194,397,116
195,428,115
